,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
0,accumulated(precipitation_amount),Precipitation in gauge,Total precipitation amount in gauge (accumulated since last emptying). Timing for emptying and algoritm for calculating the precipitation amount depends on sensortype,mm,CF-name,"{'baseName': 'precipitation_amount', 'method': 'accumulated', 'methodDescription': 'Accumulated from 0, which means the sum over an unknown period.'}",Precipitation,"{'elementCodes': ['RA', 'RACPLUV_ALGOR_1', 'RAC_01', 'X2RA'], 'unit': 'mm'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (accumulated since the value was 0)', 'unit': 'kg m-2', 'version': '44'}",,,
1,air_pressure,Air pressure as measured at sensor height,Air pressure as measured at sensor height without reduction. The measurement height should be available in the station metadata.,hPa,CF-name,{'baseName': 'air_pressure'},Air Pressure,"{'elementCodes': ['PA'], 'unit': 'hPa'}","{'standardName': 'air_pressure', 'unit': 'hPa', 'version': '75'}",{'values': ['PT0H']},,
2,air_pressure_at_sea_level,Air pressure at sea level,Air pressure reduced to mean sea level. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,CF-name,{'baseName': 'air_pressure_at_sea_level'},Air pressure,"{'elementCodes': ['PR', 'X1PR'], 'unit': 'hPa'}","{'standardName': 'air_pressure_at_sea_level', 'unit': 'Pa', 'version': '44'}",,,
3,air_pressure_at_sea_level_qnh,Air pressure (QNH),Air pressure reduced to sea level by applying the ICAO Standard Atmosphere. Used in aviation and the parameter is then usually called QNH. Rounded down to the nearest hPa.,hPa,METNO-name,{'baseName': 'air_pressure_at_sea_level_qnh'},Air pressure,"{'elementCodes': ['PH', 'QNH'], 'unit': 'hPa'}",,,,
4,air_temperature,Air temperature,"Air temperature (default 2 m above ground), present value",degC,CF-name,{'baseName': 'air_temperature'},Temperature,"{'elementCodes': ['TA', 'TA0050', 'TA1', 'TA10', 'TA25', 'TA3', 'TA30', 'X1TA', 'X2TA', 'X3TA', 'X4TA', 'X5TA', 'X6TA'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'unit': 'K', 'version': '44'}","{'values': ['PT0H', 'PT18H', 'PT20M']}","{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [0.5, 1, 2, 3, 10, 25, 30]}",
5,air_temperature_vertical_difference,Air temperature -vertical diff,Vertical temperature difference,degC,METNO-name,{'baseName': 'air_temperature_vertical_difference'},Temperature,"{'elementCodes': ['TA_DELTA'], 'unit': 'ºC'}",,{'values': ['PT0H']},,
6,automatic_metar,Automatic METAR,Indicator for automatic generated METAR,code,METNO-name,{'baseName': 'automatic_metar'},Metadata,"{'elementCodes': ['AUTO', 'AUTO_METAR'], 'unit': 'code'}",,{'values': ['PT20M']},,autometar
7,beaufort_wind_force,Wind force in Beaufort,"The Beaufort wind force scale ranges from 0 to 12 and is an empirical measure for describing wind intensity based on observed conditions of the sea, trees, smoke etc.",code,CF-name,{'baseName': 'beaufort_wind_force'},Wind,"{'elementCodes': ['FFB'], 'unit': 'Beaufort'}","{'standardName': 'beaufort_wind_force', 'unit': '1', 'version': '44'}",,,beaufort_wind_scale
8,best_estimate_max(air_temperature P1D),Homogenised maximum air temperature (24 h),Homogenised daily temperature maximum.,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'best_estimate_max', 'period': 'P1D'}",Temperature,"{'elementCodes': ['TAX'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: max (best estimate)', 'unit': 'degC', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
9,best_estimate_mean(air_temperature P1D),Homogenised mean temperature (24 h),"Homogenised daily mean temperature. The mean is an arithmetic mean of 24 hourly values (00-00 UTC), or a formula based mean value when only a limited number of observations is available (e.g. 06, 12, 18 UTC).",degC,CF-name,"{'baseName': 'air_temperature', 'method': 'best_estimate_mean', 'period': 'P1D', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
