index,@type,id,name,shortName,country,countryCode,geometry,masl,validFrom,county,countyId,municipality,municipalityId,stationHolders,externalIds,wigosId,wmoId,icaoCodes,shipCodes
0,SensorSystem,SN59450,STADLANDET,Stadlandet,Norge,NO,"{'@type': 'Point', 'coordinates': [5.2115, 62.1467], 'nearest': False}",75.0,1923-01-01T00:00:00.000Z,VESTLAND,46.0,STAD,4649.0,['MET.NO'],['10.249.1.80'],0-578-0-59450,,,
1,SensorSystem,SN18269,OSLO - HAUGENSTUA,Haugenstua,Norge,NO,"{'@type': 'Point', 'coordinates': [10.9035, 59.9535], 'nearest': False}",123.0,2000-01-01T00:00:00.000Z,OSLO,3.0,OSLO,301.0,"['OSLO KOMMUNE, VANN- OG AVLØPSETATEN']",,0-578-0-18269,,,
2,SensorSystem,SN57790,MYKLEBUSTFJELLET,Myklebustfjellet,Norge,NO,"{'@type': 'Point', 'coordinates': [5.2007, 61.6788], 'nearest': False}",715.0,2014-10-31T00:00:00.000Z,VESTLAND,46.0,BREMANGER,4648.0,['MET.NO'],,0-578-0-57790,,,
3,SensorSystem,SN99895,KVADEHUKEN II,Kvadehuken,Svalbard og Jan Mayen,SJ,"{'@type': 'Point', 'coordinates': [11.3475, 78.9633], 'nearest': False}",5.0,2021-06-29T00:00:00.000Z,SVALBARD,21.0,SVALBARD,2100.0,[],,0-744-0-99895,,,
4,SensorSystem,SN743400,LIMOGES-BELLEGARDE,,Frankrike,FR,"{'@type': 'Point', 'coordinates': [1.175, 45.8611111111111], 'nearest': False}",396.0,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-07434'],,7434.0,,
5,SensorSystem,SN218410,MARKUSVINSA,Markusvinsa,Sverige,SE,"{'@type': 'Point', 'coordinates': [22.9001, 66.7265], 'nearest': False}",164.0,1998-11-01T00:00:00.000Z,,,NORRBOTTENS LÄN,7522500.0,['SMHI'],['172920'],,,,
6,SensorSystem,SN1648000,COZZO SPADARO,,Italia,IT,"{'@type': 'Point', 'coordinates': [15.1313888888889, 36.6861111111111], 'nearest': False}",46.0,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-16480'],,16480.0,,
7,SensorSystem,SN295200,PORI AIRPORT,,Finland,FI,"{'@type': 'Point', 'coordinates': [21.7880555555556, 61.4672222222222], 'nearest': False}",12.0,2006-06-12T00:00:00.000Z,,,,,['FMI (FINLANDS METEOROLOGISKE INSTITUTT)'],"['0-20000-0-02952', 'EFPO']",,2952.0,['EFPO'],
8,SensorSystem,SN286300,KEMI I LIGHTHOUSE,,Finland,FI,"{'@type': 'Point', 'coordinates': [24.0961111111111, 65.3852777777778], 'nearest': False}",25.0,2006-06-12T00:00:00.000Z,,,,,['FMI (FINLANDS METEOROLOGISKE INSTITUTT)'],['0-20000-0-02863'],,2863.0,,
9,SensorSystem,SN84900,BJØRNFJELL,Bjørnfjell,Norge,NO,"{'@type': 'Point', 'coordinates': [18.0767, 68.4323], 'nearest': False}",512.0,1922-12-08T00:00:00.000Z,NORDLAND,18.0,NARVIK,1806.0,['BANE NOR'],,0-578-0-84900,,,
